OrderController/Details: 	1303ms

GameController/GetCount: 	1303ms

OrderController/Make: 	7792ms

GameController/GetCount: 	7792ms

OrderController/Pay: 	51126ms

OrderController/Pay: 	54580ms

GameController/GetCount: 	54584ms

OrderController/Pay: 	58194ms

OrderController/Pay: 	61430ms

GameController/Index: 	1169ms

GameController/GetCount: 	1177ms

OrderController/Details: 	1325ms

GameController/GetCount: 	1326ms

OrderController/Make: 	8421ms

GameController/GetCount: 	8422ms

OrderController/Pay: 	10301ms

OrderController/Details: 	10305ms

GameController/GetCount: 	10305ms

GameController/Index: 	1394ms

GameController/GetCount: 	1402ms

OrderController/Details: 	1474ms

GameController/GetCount: 	1474ms

OrderController/Make: 	1491ms

GameController/GetCount: 	1492ms

OrderController/Pay: 	3233ms

OrderController/Details: 	3238ms

GameController/GetCount: 	3239ms

GameController/Details: 	3309ms

GameController/GetCount: 	3310ms

OrderController/Add: 	3444ms

GameController/Index: 	3502ms

GameController/GetCount: 	3503ms

OrderController/Details: 	3532ms

GameController/GetCount: 	3533ms

GameController/Details: 	3553ms

GameController/GetCount: 	3554ms

OrderController/Add: 	3593ms

GameController/Index: 	3642ms

GameController/GetCount: 	3645ms

OrderController/Details: 	3663ms

GameController/GetCount: 	3663ms

GameController/Index: 	1396ms

GameController/GetCount: 	1407ms

GameController/Index: 	1452ms

GameController/GetCount: 	1453ms

GameController/Index: 	1477ms

GameController/GetCount: 	1477ms

GameController/Index: 	1482ms

GameController/GetCount: 	1483ms

GameController/Index: 	1617ms

GameController/GetCount: 	1617ms

GameController/Index: 	1658ms

GameController/GetCount: 	1659ms

GameController/Index: 	1924ms

GameController/GetCount: 	1927ms

GameController/Index: 	1947ms

GameController/GetCount: 	1947ms

GameController/Index: 	1974ms

GameController/GetCount: 	1975ms

GameController/Index: 	2003ms

GameController/GetCount: 	2004ms

GameController/Index: 	2259ms

GameController/GetCount: 	2269ms

GameController/Index: 	2279ms

GameController/GetCount: 	2279ms

GameController/Index: 	2291ms

GameController/GetCount: 	2292ms

GameController/Index: 	2299ms

GameController/GetCount: 	2299ms

GameController/Index: 	2323ms

GameController/GetCount: 	2324ms

GameController/Index: 	2355ms

GameController/GetCount: 	2358ms

GameController/Index: 	2371ms

GameController/GetCount: 	2371ms

GameController/Index: 	2375ms

GameController/GetCount: 	2376ms

GameController/Index: 	2380ms

GameController/GetCount: 	2380ms

GameController/Index: 	2393ms

GameController/GetCount: 	2394ms

GameController/Details: 	2428ms

GameController/GetCount: 	2429ms

CommentController/Index: 	2473ms

GameController/GetCount: 	2474ms

CommentController/Index: 	2838ms

CommentController/Index: 	2891ms

GameController/GetCount: 	2892ms

CommentController/Index: 	2973ms

CommentController/Index: 	2992ms

GameController/GetCount: 	2993ms

GameController/Index: 	3063ms

GameController/GetCount: 	3067ms

GameController/Details: 	3086ms

GameController/GetCount: 	3087ms

PublisherController/Details: 	3107ms

GameController/GetCount: 	3108ms

PublisherController/Index: 	3125ms

GameController/GetCount: 	3126ms

PublisherController/New: 	3127ms

GameController/GetCount: 	3128ms

GameController/Index: 	3182ms

GameController/GetCount: 	3183ms

GameController/Details: 	3204ms

GameController/GetCount: 	3205ms

GameController/Remove: 	10872ms

GameController/Index: 	10938ms

GameController/GetCount: 	10942ms

